pert_iname,cell_iname,norm_cs,bioactivity_class,SMILE
idebenone,MDAMB231,1.6,active,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO
trifluridine,MDAMB231,1.6,active,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O
brivudine,MDAMB231,1.58,active,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)/C=C/Br)CO)O
terbinafine,MDAMB231,1.57,active,CC(C)(C)C#C/C=C/CN(C)CC1=CC=CC2=CC=CC=C21
palovarotene,MDAMB231,1.57,active,CC1(CCC(C2=C1C=C(C(=C2)/C=C/C3=CC=C(C=C3)C(=O)O)CN4C=CC=N4)(C)C)C
enzastaurin,MDAMB231,1.56,active,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7
fusidic-acid,MDAMB231,1.55,active,C[C@H]1[C@@H]2CC[C@]3([C@H]([C@]2(CC[C@H]1O)C)[C@@H](C[C@@H]\4[C@@]3(C[C@@H](/C4=C(/CCC=C(C)C)\C(=O)O)OC(=O)C)C)O)C
mericitabine,MDAMB231,1.55,active,CC(C)C(=O)OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=CC(=NC2=O)N)(C)F)OC(=O)C(C)C
motesanib,MDAMB231,1.55,active,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
zonisamide,MDAMB231,1.55,active,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N
tivantinib,MDAMB231,1.55,active,C1CC2=C3C(=CC=C2)C(=CN3C1)[C@H]4[C@@H](C(=O)NC4=O)C5=CNC6=CC=CC=C65
fenoterol,MDAMB231,1.53,active,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O
FPL-62064,MDAMB231,1.5,active,COC1=CC=C(C=C1)NC2=NN(C=C2)C3=CC=CC=C3
sulbutiamine,MDAMB231,1,inactive,CC1=NC=C(C(=N1)N)CN(/C(=C(\SS/C(=C(\N(C=O)CC2=CN=C(N=C2N)C)/C)/CCOC(=O)C(C)C)/CCOC(=O)C(C)C)/C)C=O
doxofylline,MDAMB231,1,inactive,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC3OCCO3
dapsone,MDAMB231,1,inactive,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
ivacaftor,MDAMB231,1,inactive,CC(C)(C)C1=CC(=C(C=C1NC(=O)C2=CNC3=CC=CC=C3C2=O)O)C(C)(C)C
AZD-7687,MDAMB231,1,inactive,CC1=C(N=C(C(=N1)C)C(=O)N)C2=CC=C(C=C2)C3CCC(CC3)CC(=O)O
BIX-02189,MDAMB231,1,inactive,CN(C)CC1=CC(=CC=C1)N=C(C2=CC=CC=C2)C3=C(NC4=C3C=CC(=C4)C(=O)N(C)C)O
exalamide,MDAMB231,1,inactive,CCCCCCOC1=CC=CC=C1C(=O)N
siguazodan,MDAMB231,1,inactive,CC1CC(=O)NN=C1C2=CC=C(C=C2)NC(=NC)NC#N
pinacidil,MDAMB231,0.99,inactive,CC(C(C)(C)C)N=C(NC#N)NC1=CC=NC=C1
piketoprofen,MDAMB231,0.99,inactive,CC1=CC(=NC=C1)NC(=O)C(C)C2=CC(=CC=C2)C(=O)C3=CC=CC=C3
oxiperomide,MDAMB231,0.99,inactive,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCOC4=CC=CC=C4
efavirenz,MDAMB231,0.99,inactive,C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F
lobenzarit,MDAMB231,0.99,inactive,C1=CC=C(C(=C1)C(=O)O)NC2=C(C=CC(=C2)Cl)C(=O)O
spironolactone,MDAMB231,0.99,inactive,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C
rasagiline,MDAMB231,0.99,inactive,C#CCN[C@@H]1CCC2=CC=CC=C12
VTP-27999,MDAMB231,0.99,inactive,CN[C@@H](C[C@H]1CCCOC1)CNC(=O)N2CCC[C@H](C2)[C@H](C3=CC(=CC=C3)Cl)OCCNC(=O)OC
lasalocid,MDAMB231,0.98,inactive,CC[C@H]([C@@H]1[C@H](C[C@@](O1)(CC)[C@H]2CC[C@@]([C@@H](O2)C)(CC)O)C)C(=O)[C@@H](C)[C@H]([C@H](C)CCC3=C(C(=C(C=C3)C)O)C(=O)O)O
MF-101,MDAMB231,0.98,inactive,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O
PH-797804,MDAMB231,0.98,inactive,CC1=C(C=C(C=C1)C(=O)NC)N2C(=CC(=C(C2=O)Br)OCC3=C(C=C(C=C3)F)F)C
lorcaserin,MDAMB231,0.98,inactive,C[C@H]1CNCCC2=C1C=C(C=C2)Cl
taltirelin,MDAMB231,0.98,inactive,CN1C(=O)C[C@H](NC1=O)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N3CCC[C@H]3C(=O)N
camptothecin,MDAMB231,0.98,inactive,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
armodafinil,MDAMB231,0.97,inactive,C1=CC=C(C=C1)C(C2=CC=CC=C2)[S@](=O)CC(=O)N
MK-2461,MDAMB231,0.97,inactive,CN1C=C(C=N1)C2=CC3=C(C=CC4=C(C3=O)C=C(C=C4)NS(=O)(=O)N(C)C[C@@H]5COCCO5)N=C2
amodiaquine,MDAMB231,0.97,inactive,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O
ATN-161,MDAMB231,0.97,inactive,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CO)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)N)C(=O)N
BVD-523,MDAMB231,0.97,inactive,CC(C)NC1=NC=C(C(=C1)C2=CNC(=C2)C(=O)N[C@H](CO)C3=CC(=CC=C3)Cl)Cl
sofalcone,MDAMB231,0.97,inactive,CC(=CCOC1=CC=C(C=C1)/C=C/C(=O)C2=C(C=C(C=C2)OCC=C(C)C)OCC(=O)O)C
ticlopidine,MDAMB231,0.97,inactive,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl
nicergoline,MDAMB231,0.96,inactive,CN1C[C@@H](C[C@]2([C@H]1CC3=CN(C4=CC=CC2=C34)C)OC)COC(=O)C5=CC(=CN=C5)Br
cefoperazone,MDAMB231,0.96,inactive,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=C(C=C2)O)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O
acipimox,MDAMB231,0.96,inactive,CC1=CN=C(C=[N+]1[O-])C(=O)O
pinitol,MDAMB231,0.96,inactive,COC1[C@@H]([C@H](C([C@@H]([C@@H]1O)O)O)O)O
alagebrium,MDAMB231,0.96,inactive,CC1=C(SC=[N+]1CC(=O)C2=CC=CC=C2)C
dideoxyadenosine,MDAMB231,0.96,inactive,C1C[C@@H](O[C@@H]1CO)N2C=NC3=C(N=CN=C32)N
tanaproget,MDAMB231,0.96,inactive,CC1(C2=C(C=CC(=C2)C3=CC=C(N3C)C#N)NC(=S)O1)C
desoxypeganine,MDAMB231,0.95,inactive,C1CC2=NC3=CC=CC=C3CN2C1
JTE-907,MDAMB231,0.95,inactive,CCCCCOC1=C(C=CC2=C1NC(=O)C(=C2)C(=O)NCC3=CC4=C(C=C3)OCO4)OC
ivermectin,MDAMB231,0.95,inactive,CC[C@H](C)[C@@H]1[C@H](CC[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C
prednisone,MDAMB231,0.95,inactive,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C
SB-203580,MDAMB231,0.95,inactive,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F
vidarabine,MDAMB231,0.94,inactive,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)N
CGS-20625,MDAMB231,0.94,inactive,COC1=CC=C(C=C1)N2C(=O)C3=CN=C4CCCCCC4=C3N2
voriconazole,MDAMB231,0.94,inactive,C[C@@H](C1=NC=NC=C1F)[C@](CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O
nafamostat,MDAMB231,0.94,inactive,C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N
esmolol,MDAMB231,0.93,inactive,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O
curcumin,MDAMB231,0.93,inactive,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O
varenicline,MDAMB231,0.92,inactive,C1C2CNCC1C3=CC4=NC=CN=C4C=C23
glibenclamide,MDAMB231,0.92,inactive,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
nilotinib,MDAMB231,0.92,inactive,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
estramustine,MDAMB231,0.92,inactive,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl
escitalopram,MDAMB231,0.92,inactive,CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
GDC-0199,MDAMB231,0.91,inactive,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C
erteberel,MDAMB231,0.91,inactive,C1C[C@H]2[C@@H](C1)C3=C(C=CC(=C3)O)O[C@H]2C4=CC=C(C=C4)O
naftifine,MDAMB231,0.91,inactive,CN(C/C=C/C1=CC=CC=C1)CC2=CC=CC3=CC=CC=C32
anamorelin,MDAMB231,0.91,inactive,CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C(=O)N3CCC[C@](C3)(CC4=CC=CC=C4)C(=O)N(C)N(C)C)N
sasapyrine,MDAMB231,0.91,inactive,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O
KX-2391,MDAMB231,0.91,inactive,C1COCCN1CCOC2=CC=C(C=C2)C3=CN=C(C=C3)CC(=O)NCC4=CC=CC=C4
mirtazapine,MDAMB231,0.9,inactive,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
RG-7388,MDAMB231,0.9,inactive,CC(C)(C)C[C@H]1[C@]([C@H]([C@@H](N1)C(=O)NC2=C(C=C(C=C2)C(=O)O)OC)C3=C(C(=CC=C3)Cl)F)(C#N)C4=C(C=C(C=C4)Cl)F
nefazodone,MDAMB231,0.9,inactive,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl
febuxostat,MDAMB231,0.9,inactive,CC1=C(SC(=N1)C2=CC(=C(C=C2)OCC(C)C)C#N)C(=O)O
glycopyrrolate,MDAMB231,0.89,inactive,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C.[Br-]
donepezil,MDAMB231,0.89,inactive,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
balsalazide,MDAMB231,0.89,inactive,C1=CC(=CC=C1C(=O)NCCC(=O)O)N=NC2=CC(=C(C=C2)O)C(=O)O
temozolomide,MDAMB231,0.89,inactive,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N
CB-10-277,MDAMB231,0.89,inactive,CN(C)N=NC1=CC=C(C=C1)C(=O)O
fexofenadine,MDAMB231,0.89,inactive,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O
BIIB-021,MDAMB231,0.89,inactive,CC1=CN=C(C(=C1OC)C)CN2C=NC3=C2N=C(N=C3Cl)N
nizofenone,MDAMB231,0.89,inactive,CCN(CC)CC1=NC=CN1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)C3=CC=CC=C3Cl
pranlukast,MDAMB231,0.89,inactive,C1=CC=C(C=C1)CCCCOC2=CC=C(C=C2)C(=O)NC3=CC=CC4=C3OC(=CC4=O)C5=NNN=N5
PF-04447943,MDAMB231,0.89,inactive,C[C@@H]1CN(C[C@H]1C2=NC3=C(C=NN3C4CCOCC4)C(=O)N2)CC5=NC=CC=N5
sulfafurazole,MDAMB231,0.88,inactive,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N
MBX-2982,MDAMB231,0.88,inactive,CCC1=CN=C(N=C1)N2CCC(CC2)C3=NC(=CS3)COC4=CC=C(C=C4)N5C=NN=N5
bitopertin,MDAMB231,0.88,inactive,C[C@@H](C(F)(F)F)OC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)N2CCN(CC2)C3=C(C=C(C=N3)C(F)(F)F)F
nikethamide,MDAMB231,0.88,inactive,CCN(CC)C(=O)C1=CN=CC=C1
VX-745,MDAMB231,0.88,inactive,C1=CC(=C(C(=C1)Cl)C2=C3C=CC(=NN3C=NC2=O)SC4=C(C=C(C=C4)F)F)Cl
naftopidil,MDAMB231,0.87,inactive,COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O
trazodone,MDAMB231,0.87,inactive,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl
eperezolid,MDAMB231,0.87,inactive,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCN(CC3)C(=O)CO)F
isoniazid,MDAMB231,0.87,inactive,C1=CN=CC=C1C(=O)NN
MK-3207,MDAMB231,0.87,inactive,C1CCC2(C1)C(=O)N([C@@H](CN2)C3=CC(=CC(=C3)F)F)CC(=O)NC4=CC5=C(C[C@@]6(C5)C7=C(NC6=O)N=CC=C7)C=C4
acetazolamide,MDAMB231,0.87,inactive,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
SB-216763,MDAMB231,0.87,inactive,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
ZSTK-474,MDAMB231,0.87,inactive,C1COCCN1C2=NC(=NC(=N2)N3C4=CC=CC=C4N=C3C(F)F)N5CCOCC5
alprostadil,MDAMB231,0.87,inactive,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O
adarotene,MDAMB231,0.87,inactive,C1C2CC3CC1CC(C2)(C3)C4=C(C=CC(=C4)C5=CC=C(C=C5)/C=C/C(=O)O)O
pazufloxacin,MDAMB231,0.86,inactive,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2C4(CC4)N)F)C(=O)O
BMS-927711,MDAMB231,0.86,inactive,C1C[C@H](C2=C(C=CC=N2)[C@H]([C@@H]1C3=C(C(=CC=C3)F)F)N)OC(=O)N4CCC(CC4)N5C6=C(NC5=O)N=CC=C6
metolazone,MDAMB231,0.86,inactive,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl
VX-661,MDAMB231,0.86,inactive,CC(C)(CO)C1=CC2=CC(=C(C=C2N1C[C@H](CO)O)F)NC(=O)C3(CC3)C4=CC5=C(C=C4)OC(O5)(F)F
vismodegib,MDAMB231,0.86,inactive,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl
AGI-6780,MDAMB231,0.86,inactive,C1CC1NS(=O)(=O)C2=CC(=C(C=C2)C3=CSC=C3)NC(=O)NC4=CC=CC(=C4)C(F)(F)F
CPI-613,MDAMB231,0.86,inactive,C1=CC=C(C=C1)CSCCC(CCCCC(=O)O)SCC2=CC=CC=C2
tadalafil,MDAMB231,0.86,inactive,CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36
nimodipine,MDAMB231,0.85,inactive,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC
sumatriptan,MDAMB231,0.85,inactive,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C
amitifadine,MDAMB231,0.85,inactive,C1[C@H]2[C@@]1(CNC2)C3=CC(=C(C=C3)Cl)Cl
aprepitant,MDAMB231,0.85,inactive,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F
ZM-447439,MDAMB231,0.84,inactive,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5
fenticonazole,MDAMB231,0.84,inactive,C1=CC=C(C=C1)SC2=CC=C(C=C2)COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl
zaleplon,MDAMB231,0.84,inactive,CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C
molindone,MDAMB231,0.84,inactive,CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C
ampalex,MDAMB231,0.84,inactive,C1CCN(CC1)C(=O)C2=CC3=NC=CN=C3C=C2
foretinib,MDAMB231,0.84,inactive,COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F
irbesartan,MDAMB231,0.83,inactive,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
ketoprofen,MDAMB231,0.83,inactive,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
SNX-2112,MDAMB231,0.83,inactive,CC1(CC2=C(C(=O)C1)C(=NN2C3=CC(=C(C=C3)C(=O)N)NC4CCC(CC4)O)C(F)(F)F)C
fingolimod,MDAMB231,0.83,inactive,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N
L-690330,MDAMB231,0.83,inactive,CC(OC1=CC=C(C=C1)O)(P(=O)(O)O)P(=O)(O)O
inositol,MDAMB231,0.83,inactive,C1(C(C(C(C(C1O)O)O)O)O)O
vemurafenib,MDAMB231,0.83,inactive,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F
otilonium,MDAMB231,0.82,inactive,CCCCCCCCOC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)C(=O)OCC[N+](C)(CC)CC
SGX-523,MDAMB231,0.82,inactive,CN1C=C(C=N1)C2=NN3C(=NN=C3SC4=CC5=C(C=C4)N=CC=C5)C=C2
rupatadine,MDAMB231,0.82,inactive,CC1=CC(=CN=C1)CN2CCC(=C3C4=C(CCC5=C3N=CC=C5)C=C(C=C4)Cl)CC2
repaglinide,MDAMB231,0.82,inactive,CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O
telatinib,MDAMB231,0.82,inactive,CNC(=O)C1=NC=CC(=C1)COC2=NN=C(C3=C2OC=C3)NC4=CC=C(C=C4)Cl
eflornithine,MDAMB231,0.82,inactive,C(CC(C(F)F)(C(=O)O)N)CN
benzylpenicillin,MDAMB231,0.82,inactive,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C
CX-5461,MDAMB231,0.82,inactive,CC1=CN=C(C=N1)CNC(=O)C2=C3N(C4=CC=CC=C4S3)C5=C(C2=O)C=CC(=N5)N6CCCN(CC6)C
indapamide,MDAMB231,0.82,inactive,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N
candesartan,MDAMB231,0.81,inactive,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
betulinic-acid,MDAMB231,0.81,inactive,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O
NVP-BGJ398,MDAMB231,0.81,inactive,CCN1CCN(CC1)C2=CC=C(C=C2)NC3=CC(=NC=N3)N(C)C(=O)NC4=C(C(=CC(=C4Cl)OC)OC)Cl
TGX-221,MDAMB231,0.81,inactive,CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=CC=CC=C3)N4CCOCC4
A-66,MDAMB231,0.81,inactive,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CSC(=N3)C(C)(C)C
reserpine,MDAMB231,0.81,inactive,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
urapidil,MDAMB231,0.8,inactive,CN1C(=CC(=O)N(C1=O)C)NCCCN2CCN(CC2)C3=CC=CC=C3OC
clinafloxacin,MDAMB231,0.8,inactive,C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)Cl)N4CCC(C4)N)F)C(=O)O
valproic-acid,MDAMB231,0.8,inactive,CCCC(CCC)C(=O)O
enprofylline,MDAMB231,0.8,inactive,CCCN1C2=C(C(=O)NC1=O)NC=N2
levamisole,MDAMB231,0.79,inactive,C1CSC2=N[C@H](CN21)C3=CC=CC=C3
nefiracetam,MDAMB231,0.79,inactive,CC1=C(C(=CC=C1)C)NC(=O)CN2CCCC2=O
novobiocin,MDAMB231,0.79,inactive,CC1=C(C=CC2=C1OC(=O)C(=C2O)NC(=O)C3=CC(=C(C=C3)O)CC=C(C)C)O[C@H]4[C@@H]([C@@H]([C@H](C(O4)(C)C)OC)OC(=O)N)O
D-serine,MDAMB231,0.79,inactive,C([C@H](C(=O)O)N)O
duloxetine,MDAMB231,0.79,inactive,CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32
sildenafil,MDAMB231,0.79,inactive,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C
ethylenediaminetetraacetic-acid,MDAMB231,0.79,inactive,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
gemifloxacin,MDAMB231,0.78,inactive,CO/N=C/1\CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F
flumatinib,MDAMB231,0.78,inactive,CC1=C(C=C(C=N1)NC(=O)C2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5
VX-809,MDAMB231,0.78,inactive,CC1=C(N=C(C=C1)NC(=O)C2(CC2)C3=CC4=C(C=C3)OC(O4)(F)F)C5=CC(=CC=C5)C(=O)O
quetiapine,MDAMB231,0.78,inactive,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42
amantadine,MDAMB231,0.78,inactive,C1C2CC3CC1CC(C2)(C3)N
digoxin,MDAMB231,0.78,inactive,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
timonacic,MDAMB231,0.77,inactive,C1C(NCS1)C(=O)O
letrozole,MDAMB231,0.77,inactive,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
sulbactam,MDAMB231,0.77,inactive,CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C
